SleepHours,StressLevel,ScreenTime,ExerciseHours,SocialInteraction,WaterIntake,WorkPressure,MentalHealthRisk
5,High,8,0.4,Low,1.6,8,High Risk
7,Medium,6,1,Medium,2.5,6,Medium Risk
8,Low,2,2.2,High,3.7,2,Low Risk
4,High,10,0,Low,1.3,9,High Risk
6,Medium,7,1,Medium,2.2,5,Medium Risk
9,Low,3,2,High,4.2,1,Low Risk
5,High,9,0.5,Low,1.5,8,High Risk
7,Medium,5,1.2,Medium,2.6,5,Medium Risk
8,Low,2,2,High,3.8,2,Low Risk
3,High,11,0,Low,1,10,High Risk
6,Medium,6,1,Medium,2.3,6,Medium Risk
9,Low,3,2.3,High,4.1,1,Low Risk
5,High,8,0.4,Low,1.7,8,High Risk
7,Medium,6,1,Medium,2.5,5,Medium Risk
8,Low,2,2,High,3.6,2,Low Risk
4,High,10,0,Low,1.2,9,High Risk
6,Medium,7,1.1,Medium,2.4,6,Medium Risk
9,Low,3,2,High,4,1,Low Risk
5,High,9,0.5,Low,1.5,8,High Risk
7,Medium,5,1,Medium,2.6,5,Medium Risk
8,Low,2,2.1,High,3.7,2,Low Risk
4,High,11,0,Low,1.1,10,High Risk
8.5,0,1,2,2,3,1,Low Risk
7.8,0,2,2,2,3,1,Low Risk
8.0,0,1,1.5,2,3,0,Low Risk
6.5,1,5,1,1,2,2,Medium Risk
6.0,1,6,1,1,2,2,Medium Risk
5.5,1,7,0.5,1,1,2,Medium Risk
4.0,2,10,0,0,1,3,High Risk
3.5,2,12,0,0,1,3,High Risk
5.0,2,9,0.5,0,1,3,High Risk
7.5,0,2,1.5,2,3,1,Low Risk
7.0,0,3,1.5,2,3,1,Low Risk
6.8,1,4,1,1,2,2,Medium Risk
6.2,1,5,1,1,2,2,Medium Risk
5.8,1,6,1,1,2,2,Medium Risk
4.5,2,11,0,0,1,3,High Risk
4.2,2,10,0,0,1,3,High Risk
8.2,0,1,2,2,3,1,Low Risk
8.3,0,2,2,2,3,1,Low Risk
7.9,0,1,2,2,3,0,Low Risk
6.7,1,5,1,1,2,2,Medium Risk
6.3,1,6,1,1,2,2,Medium Risk
5.9,1,7,0.5,1,2,2,Medium Risk
4.8,2,10,0,0,1,3,High Risk
3.8,2,12,0,0,1,3,High Risk
5.2,2,9,0.5,0,1,3,High Risk
7.6,0,2,1.5,2,3,1,Low Risk
7.4,0,3,2,2,3,1,Low Risk
6.1,1,5,1,1,2,2,Medium Risk
6.0,1,6,1,1,2,2,Medium Risk
5.7,1,7,0.5,1,2,2,Medium Risk
4.3,2,11,0,0,1,3,High Risk
4.1,2,12,0,0,1,3,High Risk
8.1,0,1,2,2,3,1,Low Risk
8.4,0,2,2,2,3,1,Low Risk
7.2,0,3,1.5,2,3,1,Low Risk
6.4,1,5,1,1,2,2,Medium Risk
6.3,1,6,1,1,2,2,Medium Risk
5.6,1,7,0.5,1,2,2,Medium Risk
4.6,2,10,0,0,1,3,High Risk
3.9,2,12,0,0,1,3,High Risk
5.1,2,9,0.5,0,1,3,High Risk
7.3,0,2,2,2,3,1,Low Risk
7.1,0,3,2,2,3,1,Low Risk
6.9,1,4,1,1,2,2,Medium Risk
6.5,1,5,1,1,2,2,Medium Risk
5.4,1,7,0.5,1,1,2,Medium Risk
4.7,2,11,0,0,1,3,High Risk
4.0,2,12,0,0,1,3,High Risk
8.6,0,1,2,2,3,1,Low Risk
7.9,0,2,2,2,3,1,Low Risk
7.8,0,3,2,2,3,1,Low Risk
7.6,0,2,1.8,2,3,1,Low Risk
7.5,0,4,2,2,3,1,Low Risk
7.3,0,3,1.5,2,3,1,Low Risk
7.2,0,2,2,2,3,1,Low Risk
6.8,1,6,1,1,2,2,Medium Risk
6.7,1,5,1,1,2,2,Medium Risk
6.6,1,7,1,1,2,2,Medium Risk
6.5,1,6,1,1,2,2,Medium Risk
6.3,1,5,1,1,2,2,Medium Risk
6.0,1,6,1,1,2,2,Medium Risk
5.8,1,7,0.5,1,2,2,Medium Risk
5.6,1,8,0.5,1,2,2,Medium Risk
5.5,1,7,0.5,1,1,2,Medium Risk
5.3,2,9,0.5,0,1,3,High Risk
5.2,2,10,0,0,1,3,High Risk
5.0,2,11,0,0,1,3,High Risk
4.9,2,12,0,0,1,3,High Risk
4.8,2,10,0,0,1,3,High Risk
4.6,2,11,0,0,1,3,High Risk
4.5,2,12,0,0,1,3,High Risk
4.3,2,11,0,0,1,3,High Risk
4.2,2,12,0,0,1,3,High Risk
4.0,2,10,0,0,1,3,High Risk
3.9,2,12,0,0,1,3,High Risk
7.1,0,2,2,2,3,1,Low Risk
7.0,0,1,2,2,3,1,Low Risk
6.9,0,3,2,2,3,1,Low Risk
6.8,1,4,1,1,2,2,Medium Risk
6.7,1,5,1,1,2,2,Medium Risk
6.6,1,6,1,1,2,2,Medium Risk
6.5,1,7,1,1,2,2,Medium Risk
6.4,1,5,1,1,2,2,Medium Risk
6.3,1,6,1,1,2,2,Medium Risk
6.2,1,7,1,1,2,2,Medium Risk
6.1,1,5,1,1,2,2,Medium Risk
6.0,1,6,1,1,2,2,Medium Risk
5.9,1,7,0.5,1,2,2,Medium Risk
5.8,1,8,0.5,1,2,2,Medium Risk
5.7,1,7,0.5,1,2,2,Medium Risk
5.6,2,9,0,0,1,3,High Risk
5.5,2,10,0,0,1,3,High Risk
5.4,2,11,0,0,1,3,High Risk
5.3,2,12,0,0,1,3,High Risk
5.2,2,10,0,0,1,3,High Risk
5.1,2,11,0,0,1,3,High Risk
5.0,2,12,0,0,1,3,High Risk
4.9,2,11,0,0,1,3,High Risk
4.8,2,10,0,0,1,3,High Risk
4.7,2,12,0,0,1,3,High Risk
4.6,2,11,0,0,1,3,High Risk
4.5,2,10,0,0,1,3,High Risk
4.4,2,12,0,0,1,3,High Risk
4.3,2,11,0,0,1,3,High Risk
4.2,2,10,0,0,1,3,High Risk
4.1,2,12,0,0,1,3,High Risk
4.0,2,11,0,0,1,3,High Risk
7.8,0,2,2,2,3,1,Low Risk
7.7,0,3,2,2,3,1,Low Risk
7.6,0,1,2,2,3,1,Low Risk
7.5,0,2,2,2,3,1,Low Risk
7.4,0,3,2,2,3,1,Low Risk
7.3,0,2,2,2,3,1,Low Risk
7.2,0,1,2,2,3,1,Low Risk
7.1,0,2,2,2,3,1,Low Risk
7.0,0,3,2,2,3,1,Low Risk
6.9,1,5,1,1,2,2,Medium Risk
6.8,1,6,1,1,2,2,Medium Risk
6.7,1,5,1,1,2,2,Medium Risk
6.6,1,6,1,1,2,2,Medium Risk
6.5,1,7,1,1,2,2,Medium Risk
6.4,1,5,1,1,2,2,Medium Risk
8.2,0,8,2,2,3,1,Medium Risk
8.0,0,9,1.5,2,3,2,Medium Risk
7.9,0,10,2,2,3,1,Medium Risk
7.8,1,3,2,2,3,1,Medium Risk
7.7,1,2,2,2,3,2,Low Risk
7.6,0,11,2,2,3,1,Medium Risk
7.5,0,12,1.5,2,3,2,High Risk
7.4,1,1,2,2,3,1,Low Risk
7.3,1,2,1.5,2,3,2,Medium Risk
7.2,0,6,1,2,3,1,Low Risk
7.1,0,7,1.5,2,3,1,Low Risk
7.0,1,8,1,1,2,2,Medium Risk
6.9,1,9,1,1,2,2,Medium Risk
6.8,1,10,1,1,2,2,Medium Risk
6.7,2,3,2,1,2,3,Medium Risk
6.6,2,2,2,1,2,3,High Risk
6.5,2,1,2,0,2,3,High Risk
6.4,0,5,0.5,2,3,1,Low Risk
6.3,0,6,0.5,2,3,1,Low Risk
6.2,1,4,1,1,2,2,Medium Risk
6.1,1,5,1,1,2,2,Medium Risk
6.0,1,6,1,1,2,2,Medium Risk
5.9,2,7,0,0,1,3,High Risk
5.8,2,8,0,0,1,3,High Risk
5.7,2,9,0,0,1,3,High Risk
5.6,0,2,2,2,3,1,Low Risk
5.5,0,3,2,2,3,1,Low Risk
5.4,1,4,1,1,2,2,Medium Risk
5.3,1,5,1,1,2,2,Medium Risk
5.2,2,6,0,0,1,3,High Risk
5.1,2,7,0,0,1,3,High Risk
5.0,2,8,0,0,1,3,High Risk
4.9,2,9,0,0,1,3,High Risk
4.8,2,10,0,0,1,3,High Risk
4.7,1,2,1,1,2,2,Medium Risk
4.6,1,3,1,1,2,2,Medium Risk
4.5,1,4,1,1,2,2,Medium Risk
4.4,0,1,2,2,3,1,Low Risk
4.3,0,2,2,2,3,1,Low Risk
4.2,2,11,0,0,1,3,High Risk
4.1,2,12,0,0,1,3,High Risk
8.6,0,1,2,2,3,1,Low Risk
8.5,1,2,2,2,3,1,Low Risk
8.4,2,3,2,2,3,1,Medium Risk
8.3,0,4,2,2,3,1,Low Risk
8.1,1,5,2,2,3,2,Medium Risk
8.0,0,6,2,2,3,1,Low Risk
7.9,2,7,1.5,2,3,3,High Risk
7.8,1,8,1,1,2,2,Medium Risk
7.7,0,9,2,2,3,1,Medium Risk
7.8,0,2,2,2,3,1,Low Risk
7.7,0,3,2,2,3,1,Low Risk
7.6,0,4,2,2,3,1,Low Risk
7.5,1,2,2,2,3,1,Low Risk
7.4,1,3,1.5,2,3,2,Medium Risk
7.3,0,5,2,2,3,1,Low Risk
7.2,1,6,1.5,2,3,2,Medium Risk
7.1,0,7,2,2,3,1,Low Risk
7.0,1,8,1,1,2,2,Medium Risk
6.9,1,9,1,1,2,2,Medium Risk
6.8,2,3,1,1,2,3,High Risk
6.7,2,4,1,1,2,3,High Risk
6.6,2,5,0.5,1,2,3,High Risk
6.5,1,6,1,1,2,2,Medium Risk
6.4,1,7,1,1,2,2,Medium Risk
6.3,1,8,1,1,2,2,Medium Risk
6.2,0,2,2,2,3,1,Low Risk
6.1,0,3,2,2,3,1,Low Risk
6.0,1,4,1,1,2,2,Medium Risk
5.9,1,5,1,1,2,2,Medium Risk
5.8,2,6,0,0,1,3,High Risk
5.7,2,7,0,0,1,3,High Risk
5.6,2,8,0,0,1,3,High Risk
5.5,1,3,1,1,2,2,Medium Risk
5.4,1,4,1,1,2,2,Medium Risk
5.3,0,2,2,2,3,1,Low Risk
5.2,0,3,2,2,3,1,Low Risk
5.1,2,9,0,0,1,3,High Risk
5.0,2,10,0,0,1,3,High Risk
4.9,2,11,0,0,1,3,High Risk
4.8,1,2,1,1,2,2,Medium Risk
4.7,1,3,1,1,2,2,Medium Risk
4.6,0,1,2,2,3,1,Low Risk
4.5,0,2,2,2,3,1,Low Risk
4.4,2,12,0,0,1,3,High Risk
4.3,2,11,0,0,1,3,High Risk
4.2,2,10,0,0,1,3,High Risk
4.1,1,4,1,1,2,2,Medium Risk
4.0,1,5,1,1,2,2,Medium Risk
8.6,0,1,2,2,3,1,Low Risk
8.5,0,2,2,2,3,1,Low Risk
8.4,1,3,2,2,3,1,Low Risk
8.3,1,4,2,2,3,1,Medium Risk
8.2,0,5,2,2,3,1,Low Risk
8.1,0,6,2,2,3,1,Low Risk
8.0,2,7,1.5,2,3,3,High Risk
7.9,1,8,1.5,2,3,2,Medium Risk
7.8,0,9,2,2,3,1,Low Risk
7.7,0,10,2,2,3,1,Low Risk
7.6,1,2,2,2,3,1,Low Risk
7.5,1,3,2,2,3,2,Medium Risk
7.4,2,4,1,1,2,3,High Risk
7.3,2,5,1,1,2,3,High Risk
7.2,1,6,1,1,2,2,Medium Risk
7.1,0,7,2,2,3,1,Low Risk
7.0,0,8,2,2,3,1,Low Risk
